"@timestamp",message
"March 7th 2019, 17:10:57.000","213.135.156.244 - - [07/Mar/2019:17:10:57 +0800] ""GET /order/cart_info HTTP/1.1"" 500 74 ""-"" ""okhttp/3.10.0"" ""213.135.156.244"" ""-"" ""-"" ""memberId=68240716;currency=RUB;SHE_ID=-;userInfo[fb_user]=1;userInfo[is_wholesale]=common;origin_other_id=-;ref_cj=-;ref_linkshare=-;source_wga=-;cookieId=-;session_id=-;net_type=-;dev_id=shein_a9ed55ba-b5d2-48e0-80dc-aa05887bb692;language=-;applanguage=ru;network_type=WIFI;Device=DUA-L22 Android8.1.0;AppName=shein app;AppVersion=6.5.2;AppCountry=RU;SiteUID=andshRU;AppType=shein;"" 0.110 10.160.10.15:8001 api-service.shein.com 0.110"
"March 7th 2019, 17:10:53.000","85.115.243.36 - - [07/Mar/2019:17:10:53 +0800] ""GET /order/cart_info HTTP/1.1"" 500 74 ""-"" ""okhttp/3.10.0"" ""85.115.243.36, 88.221.216.134"" ""-"" ""-"" ""memberId=55671601;currency=RUB;SHE_ID=-;userInfo[fb_user]=1;userInfo[is_wholesale]=common;origin_other_id=-;ref_cj=-;ref_linkshare=-;source_wga=-;cookieId=-;session_id=-;net_type=-;dev_id=shein_4661a6fd-e420-459d-b3c5-32844150aa4a;language=-;applanguage=ru;network_type=4G;Device=ASUS_Z010DD Android6.0.1;AppName=shein app;AppVersion=6.5.2;AppCountry=RU;SiteUID=andshRU;AppType=shein;"" 0.096 10.160.11.187:8001 api-service.shein.com 0.096"
"March 7th 2019, 17:10:51.000","77.45.159.134 - - [07/Mar/2019:17:10:51 +0800] ""GET /order/cart_info HTTP/1.1"" 500 74 ""-"" ""okhttp/3.10.0"" ""77.45.159.134, 23.50.59.181"" ""-"" ""-"" ""memberId=49419606;currency=RUB;SHE_ID=-;userInfo[fb_user]=1;userInfo[is_wholesale]=common;origin_other_id=-;ref_cj=-;ref_linkshare=-;source_wga=-;cookieId=-;session_id=-;net_type=-;dev_id=shein_ebbb5e9e-7ad5-4850-89b3-e4a20b685d4f;language=-;applanguage=ru;network_type=WIFI;Device=COL-L29 Android9;AppName=shein app;AppVersion=6.5.2;AppCountry=RU;SiteUID=andshRU;AppType=shein;"" 0.422 10.160.11.187:8001 api-service.shein.com 0.422"
"March 7th 2019, 17:10:49.000","188.32.84.139 - - [07/Mar/2019:17:10:49 +0800] ""GET /order/cart_info HTTP/1.1"" 500 74 ""-"" ""ZZKKO/6.5.2 (iPhone; iOS 12.1; Scale/2.00)"" ""188.32.84.139, 2.16.172.127"" ""-"" ""-"" ""memberId=69319027;currency=RUB;SHE_ID=-;userInfo[fb_user]=1;userInfo[is_wholesale]=common;origin_other_id=-;ref_cj=-;ref_linkshare=-;source_wga=-;cookieId=-;session_id=-;net_type=-;dev_id=558384cb64144aa9870affb409a2ea2a;language=-;applanguage=ru;network_type=WIFI;Device=iphone6 ios12.1;AppName=shein app;AppVersion=6.5.2;AppCountry=RU;SiteUID=iosshRU;AppType=shein;"" 0.217 10.160.11.187:8001 api-service.shein.com 0.217"
"March 7th 2019, 17:10:48.000","176.59.135.61 - - [07/Mar/2019:17:10:48 +0800] ""GET /order/cart_info HTTP/1.1"" 500 74 ""-"" ""okhttp/3.10.0"" ""176.59.135.61"" ""-"" ""-"" ""memberId=40310913;currency=RUB;SHE_ID=-;userInfo[fb_user]=1;userInfo[is_wholesale]=common;origin_other_id=-;ref_cj=-;ref_linkshare=-;source_wga=-;cookieId=-;session_id=-;net_type=-;dev_id=d3ef6b2a-38ea-4942-93b6-7a568565bbe7;language=-;applanguage=ru;network_type=4G;Device=DLI-TL20 Android7.0;AppName=shein app;AppVersion=6.5.2;AppCountry=RU;SiteUID=andshRU;AppType=shein;"" 0.112 10.160.10.15:8001 api-service.shein.com 0.112"
"March 7th 2019, 17:10:44.000","80.83.238.21 - - [07/Mar/2019:17:10:44 +0800] ""GET /order/cart_info HTTP/1.1"" 500 74 ""-"" ""okhttp/3.10.0"" ""80.83.238.21"" ""-"" ""-"" ""memberId=-;currency=RUB;SHE_ID=-;userInfo[fb_user]=1;userInfo[is_wholesale]=common;origin_other_id=-;ref_cj=-;ref_linkshare=-;source_wga=-;cookieId=-;session_id=-;net_type=-;dev_id=shein_cc5fcb14-2504-4202-92c4-bd70524d71d8;language=-;applanguage=ru;network_type=4G;Device=SM-A720F Android8.0.0;AppName=shein app;AppVersion=6.5.2;AppCountry=RU;SiteUID=andshRU;AppType=shein;"" 0.079 10.160.10.217:8001 api-service.shein.com 0.079"
"March 7th 2019, 17:10:39.000","80.83.238.21 - - [07/Mar/2019:17:10:39 +0800] ""GET /order/cart_info HTTP/1.1"" 500 74 ""-"" ""okhttp/3.10.0"" ""80.83.238.21, 23.55.47.28"" ""-"" ""-"" ""memberId=-;currency=RUB;SHE_ID=-;userInfo[fb_user]=1;userInfo[is_wholesale]=common;origin_other_id=-;ref_cj=-;ref_linkshare=-;source_wga=-;cookieId=-;session_id=-;net_type=-;dev_id=shein_cc5fcb14-2504-4202-92c4-bd70524d71d8;language=-;applanguage=ru;network_type=4G;Device=SM-A720F Android8.0.0;AppName=shein app;AppVersion=6.5.2;AppCountry=RU;SiteUID=andshRU;AppType=shein;"" 0.140 10.160.10.15:8001 api-service.shein.com 0.140"
"March 7th 2019, 17:10:36.000","213.135.156.244 - - [07/Mar/2019:17:10:36 +0800] ""GET /order/cart_info HTTP/1.1"" 500 74 ""-"" ""okhttp/3.10.0"" ""213.135.156.244, 23.50.59.213"" ""-"" ""-"" ""memberId=68240716;currency=RUB;SHE_ID=-;userInfo[fb_user]=1;userInfo[is_wholesale]=common;origin_other_id=-;ref_cj=-;ref_linkshare=-;source_wga=-;cookieId=-;session_id=-;net_type=-;dev_id=shein_a9ed55ba-b5d2-48e0-80dc-aa05887bb692;language=-;applanguage=ru;network_type=WIFI;Device=DUA-L22 Android8.1.0;AppName=shein app;AppVersion=6.5.2;AppCountry=RU;SiteUID=andshRU;AppType=shein;"" 0.155 10.160.10.15:8001 api-service.shein.com 0.155"
"March 7th 2019, 17:10:24.000","85.115.243.36 - - [07/Mar/2019:17:10:24 +0800] ""GET /order/cart_info HTTP/1.1"" 500 74 ""-"" ""okhttp/3.10.0"" ""85.115.243.36, 88.221.216.134"" ""-"" ""-"" ""memberId=55671601;currency=RUB;SHE_ID=-;userInfo[fb_user]=1;userInfo[is_wholesale]=common;origin_other_id=-;ref_cj=-;ref_linkshare=-;source_wga=-;cookieId=-;session_id=-;net_type=-;dev_id=shein_4661a6fd-e420-459d-b3c5-32844150aa4a;language=-;applanguage=ru;network_type=4G;Device=ASUS_Z010DD Android6.0.1;AppName=shein app;AppVersion=6.5.2;AppCountry=RU;SiteUID=andshRU;AppType=shein;"" 0.113 10.160.11.187:8001 api-service.shein.com 0.113"
"March 7th 2019, 17:10:16.000","85.140.1.96 - - [07/Mar/2019:17:10:16 +0800] ""GET /order/cart_info HTTP/1.1"" 500 74 ""-"" ""okhttp/3.10.0"" ""85.140.1.96, 2.23.84.147"" ""-"" ""-"" ""memberId=69727720;currency=RUB;SHE_ID=-;userInfo[fb_user]=1;userInfo[is_wholesale]=common;origin_other_id=-;ref_cj=-;ref_linkshare=-;source_wga=-;cookieId=-;session_id=-;net_type=-;dev_id=shein_a39e5a6e-9e6a-4685-ae25-01ced6c424b0;language=-;applanguage=ru;network_type=4G;Device=U10 Android6.0;AppName=shein app;AppVersion=6.5.2;AppCountry=RU;SiteUID=andshRU;AppType=shein;"" 0.100 10.160.10.217:8001 api-service.shein.com 0.100"
